1266 3
3260 0 1.000000
3260 1 0.000000
3260 2 0.000000
3261 0 1.000000
3261 1 0.000000
3261 2 0.000000
3262 0 1.000000
3262 1 0.000000
3262 2 0.000000
3263 0 1.000000
3263 1 0.000000
3263 2 0.000000
3264 0 1.000000
3264 1 0.000000
3264 2 0.000000
3265 0 1.000000
3265 1 0.000000
3265 2 0.000000
3266 0 1.000000
3266 1 0.000000
3266 2 0.000000
3267 0 1.000000
3267 1 0.000000
3267 2 0.000000
3268 0 1.000000
3268 1 0.000000
3268 2 0.000000
3269 0 1.000000
3269 1 0.000000
3269 2 0.000000
3270 0 1.000000
3270 1 0.000000
3270 2 0.000000
3271 0 1.000000
3271 1 0.000000
3271 2 0.000000
4727 0 1.000000
4727 1 0.000000
4727 2 0.000000
4728 0 1.000000
4728 1 0.000000
4728 2 0.000000
4729 0 1.000000
4729 1 0.000000
4729 2 0.000000
4730 0 1.000000
4730 1 0.000000
4730 2 0.000000
4731 0 1.000000
4731 1 0.000000
4731 2 0.000000
4732 0 1.000000
4732 1 0.000000
4732 2 0.000000
4733 0 1.000000
4733 1 0.000000
4733 2 0.000000
4734 0 1.000000
4734 1 0.000000
4734 2 0.000000
4735 0 1.000000
4735 1 0.000000
4735 2 0.000000
4736 0 1.000000
4736 1 0.000000
4736 2 0.000000
4737 0 1.000000
4737 1 0.000000
4737 2 0.000000
4738 0 1.000000
4738 1 0.000000
4738 2 0.000000
4739 0 1.000000
4739 1 0.000000
4739 2 0.000000
4740 0 1.000000
4740 1 0.000000
4740 2 0.000000
4741 0 1.000000
4741 1 0.000000
4741 2 0.000000
4742 0 1.000000
4742 1 0.000000
4742 2 0.000000
4743 0 1.000000
4743 1 0.000000
4743 2 0.000000
4744 0 1.000000
4744 1 0.000000
4744 2 0.000000
4745 0 1.000000
4745 1 0.000000
4745 2 0.000000
4746 0 1.000000
4746 1 0.000000
4746 2 0.000000
4747 0 1.000000
4747 1 0.000000
4747 2 0.000000
4748 0 1.000000
4748 1 0.000000
4748 2 0.000000
4749 0 1.000000
4749 1 0.000000
4749 2 0.000000
4750 0 1.000000
4750 1 0.000000
4750 2 0.000000
4751 0 1.000000
4751 1 0.000000
4751 2 0.000000
4752 0 1.000000
4752 1 0.000000
4752 2 0.000000
4753 0 1.000000
4753 1 0.000000
4753 2 0.000000
4754 0 1.000000
4754 1 0.000000
4754 2 0.000000
4755 0 1.000000
4755 1 0.000000
4755 2 0.000000
4756 0 1.000000
4756 1 0.000000
4756 2 0.000000
4757 0 1.000000
4757 1 0.000000
4757 2 0.000000
4758 0 1.000000
4758 1 0.000000
4758 2 0.000000
4759 0 1.000000
4759 1 0.000000
4759 2 0.000000
4760 0 1.000000
4760 1 0.000000
4760 2 0.000000
4761 0 1.000000
4761 1 0.000000
4761 2 0.000000
4762 0 1.000000
4762 1 0.000000
4762 2 0.000000
4763 0 1.000000
4763 1 0.000000
4763 2 0.000000
4764 0 1.000000
4764 1 0.000000
4764 2 0.000000
4765 0 1.000000
4765 1 0.000000
4765 2 0.000000
4766 0 1.000000
4766 1 0.000000
4766 2 0.000000
4767 0 1.000000
4767 1 0.000000
4767 2 0.000000
4768 0 1.000000
4768 1 0.000000
4768 2 0.000000
4769 0 1.000000
4769 1 0.000000
4769 2 0.000000
4770 0 1.000000
4770 1 0.000000
4770 2 0.000000
4771 0 1.000000
4771 1 0.000000
4771 2 0.000000
4772 0 1.000000
4772 1 0.000000
4772 2 0.000000
4773 0 1.000000
4773 1 0.000000
