212400 3
2591 2 0.000000
2592 0 0.000000
2592 1 0.000000
2592 2 0.000000
2593 0 0.000000
2593 1 0.000000
2593 2 0.000000
2594 0 0.000000
2594 1 0.000000
2594 2 0.000000
2595 0 0.000000
2595 1 0.000000
2595 2 0.000000
2596 0 0.000000
2596 1 0.000000
2596 2 0.000000
2597 0 0.000000
2597 1 0.000000
2597 2 0.000000
2598 0 0.000000
2598 1 0.000000
2598 2 0.000000
2599 0 0.000000
2599 1 0.000000
2599 2 0.000000
2600 0 0.000000
2600 1 0.000000
2600 2 0.000000
2601 0 0.000000
2601 1 0.000000
2601 2 0.000000
2602 0 0.000000
2602 1 0.000000
2602 2 0.000000
2603 0 0.000000
2603 1 0.000000
2603 2 0.000000
2604 0 0.000000
2604 1 0.000000
2604 2 0.000000
2605 0 0.000000
2605 1 0.000000
2605 2 0.000000
2606 0 0.000000
2606 1 0.000000
2606 2 0.000000
2607 0 0.000000
2607 1 0.000000
2607 2 0.000000
